,time,open,high,low,close,Volume,SMA_5,SMA_15,VMA_5,VMA_15,EMA_5,EMA_15,Diff,up,down,avg_20up,avg_20down,avg_60up,avg_60down,RS_20,RS_60,RSI_20,RSI_60,RSI_ratio,EMA_26,EMA_12,MACD_line,MACD_signal,MACD,STD_5,Upper Bollinger Band,Lower Bollinger Band,high_low,high_prevClose,low_prevClose,TrueRange,ATR_12,ATR_3,stop_loss
97,2022-12-09 10:00:00,18626.05,18635.3,18548.35,18556.45,31140294,18594.159999999996,18587.62,31542685.0,29115919.2,18588.66391033418,18593.962362435734,-69.84999999999854,0.0,69.84999999999854,10.482499999999892,12.81999999999989,,,0.8176677067082668,,44.98444372921355,,,18599.418231841082,18592.12451276475,7.293719076333218,7.160296959444106,0.1334221168891121,27.306761983081287,18648.77352396616,18539.546476033833,86.95000000000073,9.0,77.95000000000073,86.95000000000073,50.80416666666648,59.083333333333336,18621.074999999997
98,2022-12-09 11:00:00,18556.35,18566.0,18537.45,18552.8,22745985,18587.81,18585.763333333332,31760652.2,28618177.866666667,18576.709273556124,18588.817067131266,-3.650000000001455,0.0,3.650000000001455,10.482499999999892,12.339999999999964,,,0.849473257698535,,45.930550991346074,,,18595.965029482482,18586.07458772402,9.890441758463567,7.706325919247999,2.1841158392155675,33.163692496473885,18654.137384992948,18521.482615007055,28.549999999999272,9.549999999999272,19.0,28.549999999999272,50.237499999999876,57.59999999999976,18621.016666666666
99,2022-12-09 12:00:00,18552.65,18568.55,18454.75,18486.4,27652627,18567.27,18579.34333333333,31675119.2,28875673.733333334,18546.60618237075,18576.014933739858,-66.39999999999782,0.0,66.39999999999782,9.579999999999927,15.659999999999854,,,0.611749680715199,,37.95562599049132,,,18587.849101372667,18570.740035766477,17.109065606189688,9.586873856636338,7.52219174955335,56.06288433536734,18679.395768670736,18455.144231329265,113.79999999999927,15.75,98.04999999999927,113.79999999999927,55.34999999999976,76.4333333333331,18621.375
100,2022-12-09 13:00:00,18484.2,18499.95,18459.3,18470.75,20036809,18538.54,18571.056666666664,28999860.0,28993831.6,18521.32078824717,18562.856817022373,-15.650000000001455,0.0,15.650000000001455,9.579999999999927,16.359999999999854,,,0.5855745721271401,,36.931380107941436,,,18579.17509386358,18555.356953340866,23.81814052271511,12.433127189852094,11.385013332863018,62.32976215260973,18663.19952430522,18413.880475694783,40.650000000001455,13.549999999999272,27.100000000002183,40.650000000001455,51.4375,61.0,18620.741666666665
101,2022-12-09 14:00:00,18471.55,18479.6,18410.1,18463.8,34065772,18506.04,18562.663333333334,27128297.4,29832408.266666666,18502.14719216478,18550.474714894575,-6.950000000000728,0.0,6.950000000000728,7.507499999999891,16.70749999999989,,,0.4493490947179375,,31.003510220937272,,,18570.628790614428,18541.2712682115,29.357522402926406,15.818006232466958,13.539516170459448,45.11927803058311,18596.278556061166,18415.801443938835,69.5,8.849999999998545,60.650000000001455,69.5,50.96249999999994,74.65000000000025,18620.825
102,2022-12-09 15:00:00,18464.5,18512.2,18464.5,18493.25,36715337,18493.4,18554.73,28243306.0,30517936.466666665,18499.181461443186,18543.321625532753,29.450000000000728,29.450000000000728,0.0,8.942499999999928,16.70749999999989,,,0.5352386652700876,,34.86354775828457,,,18564.89702834669,18533.88338079435,31.013647552343173,18.857134496442203,12.15651305590097,35.23693020115476,18563.87386040231,18422.926139597694,47.70000000000073,48.400000000001455,0.7000000000007276,48.400000000001455,50.125,52.85000000000097,18621.233333333334
168,2022-12-12 09:00:00,18415.0,18492.95,18345.7,18466.15,46031213,18476.07,18549.036666666667,32900351.6,30971137.933333334,18488.17097429546,18533.675172341158,-27.099999999998545,0.0,27.099999999998545,8.942499999999928,14.667499999999928,,,0.6096812681097646,,37.875900042354864,,,18557.58243365434,18523.46286067214,34.119572982199315,21.909622193593627,12.209950788605688,13.029994244095313,18502.129988488192,18450.010011511808,147.25,0.2999999999992724,147.54999999999927,147.54999999999927,60.85000000000006,88.48333333333358,18620.416666666664
169,2022-12-12 10:00:00,18464.35,18521.55,18463.8,18505.15,26874546,18479.82,18542.146666666667,32744735.4,29937073.266666666,18493.830649530308,18530.109525798514,39.0,39.0,0.0,10.789999999999964,14.667499999999928,,,0.7356400204533845,,42.38436610036339,,,18553.698549679946,18520.645497491812,33.053052188133734,24.13830819250165,8.914743995632083,18.355843756175926,18516.53168751235,18443.10831248765,57.75,55.39999999999782,2.350000000002183,57.75,61.966666666666846,84.5666666666669,18620.399999999998
170,2022-12-12 11:00:00,18505.35,18516.9,18475.45,18489.05,21305089,18483.48,18536.37,32998391.4,29456463.133333333,18492.23709968687,18524.9770850737,-16.100000000002183,0.0,16.100000000002183,10.172500000000037,15.472500000000036,,,0.6574567781547916,,39.666601676740136,,,18548.909768222173,18515.78465172384,33.12511649833323,25.935669853667967,7.18944664466526,17.914365743757347,18519.308731487516,18447.651268512484,41.45000000000073,11.75,29.700000000000728,41.45000000000073,63.13333333333352,82.25,18620.533333333333
171,2022-12-12 12:00:00,18488.75,18511.15,18476.35,18485.9,20777114,18487.9,18530.353333333333,30340659.8,29265776.666666668,18490.124733124583,18520.09244943949,-3.149999999997817,0.0,3.149999999997817,10.172500000000037,15.3625,,,0.662164361269327,,39.83747797141188,,,18544.242377983493,18511.187012997096,33.05536498639776,27.35960888021393,5.695756106183833,14.182471575894592,18516.26494315179,18459.535056848214,34.80000000000291,22.100000000002183,12.700000000000728,34.80000000000291,63.3083333333337,44.66666666666788,18620.408333333333
172,2022-12-12 13:00:00,18486.0,18495.6,18442.5,18457.75,16681837,18480.8,18522.786666666667,26333959.8,28706650.266666666,18479.33315541639,18512.299643259554,-28.150000000001455,0.0,28.150000000001455,9.045000000000073,16.770000000000074,,,0.5393559928443669,,35.037768739105246,,,18537.835535169903,18502.965934074466,34.86960109543725,28.861607323258596,6.007993772178651,18.92696489142317,18518.653929782846,18442.946070217153,53.099999999998545,9.69999999999709,43.400000000001455,53.099999999998545,64.98333333333358,43.11666666666739,18620.25833333333
173,2022-12-12 14:00:00,18457.95,18467.55,18426.45,18445.65,25892605,18476.7,18513.52666666667,22306238.2,28989080.666666668,18468.10543694426,18503.96843785211,-12.099999999998545,0.0,12.099999999998545,9.045000000000073,14.339999999999964,,,0.6307531380753204,,38.67864015394508,,,18531.00697700917,18494.14809806301,36.85887894615735,30.46106164783835,6.397817298318998,24.340141741601165,18525.380283483202,18428.0197165168,41.099999999998545,9.799999999999272,31.299999999999272,41.099999999998545,63.63333333333352,43.0,18620.73333333333
174,2022-12-12 15:00:00,18446.6,18510.3,18446.6,18494.7,36271445,18474.610000000004,18507.233333333334,24185618.0,29535157.533333335,18476.970291296173,18502.809883120597,49.04999999999927,49.04999999999927,0.0,8.65,14.339999999999964,,,0.6032078103207825,,37.625054371465914,,,18528.317571304786,18494.233006053317,34.08456525146903,31.185762368564486,2.898802882904544,21.57850203330297,18517.76700406661,18431.4529959334,63.70000000000073,64.64999999999782,0.9499999999970896,64.64999999999782,61.77499999999994,52.949999999998305,18620.708333333332
