Open,High,Low,Adj Close,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose,predicted,PredictionResult,AcctualResult,diff,ATR
16545.25,16628.55078125,16495.400390625,16614.599609375,76.52043300335265,16186.969616423397,15456.89355540458,15021.266216889426,-123.099609375,0,16568.849609375,16594.219,0,0,45.75,
16691.94921875,16701.849609375,16535.849609375,16568.849609375,73.19279267135589,16223.339139561645,15478.91248716637,15041.76401016738,68.0,1,16450.5,16643.16,1,0,118.349609375,
16382.5,16509.55078125,16376.0498046875,16450.5,65.31975286448657,16244.973507222441,15498.151843856145,15060.422764999601,-95.80078125,0,16496.44921875,16620.387,1,1,45.94921875,
16592.25,16592.5,16395.69921875,16496.44921875,66.80507399821427,16268.92357498697,15517.920108705528,15079.44298293007,63.19921875,1,16624.599609375,16436.01,0,1,128.150390625,
16561.400390625,16647.099609375,16495.30078125,16624.599609375,70.57136076076479,16302.797483023925,15539.83455426334,15099.90863361146,-19.349609375,0,16634.650390625,16507.824,0,1,10.05078125,
16654.0,16712.44921875,16617.5,16634.650390625,70.8492898017484,16334.402521843074,15561.51407577545,15120.236339002367,8.951171875,1,16636.900390625,16657.56,1,1,2.25,150.7506322717507
16627.94921875,16683.69921875,16603.400390625,16636.900390625,70.91517322397547,16363.211842679448,15582.808854287323,15140.324604586773,62.6484375,1,16705.19921875,16707.035,1,1,68.298828125,144.14095555302922
16642.55078125,16722.05078125,16565.599609375,16705.19921875,72.90668600352205,16395.782068971883,15605.034406058861,15161.051420668406,155.201171875,1,16931.05078125,16705.795,1,1,225.8515625,145.26080853525332
16775.849609375,16951.5,16764.849609375,16931.05078125,78.19625984827904,16446.7600415698,15631.292156062647,15184.49512080856,184.69921875,1,17132.19921875,16765.135,0,1,201.1484375,154.19791995115804
16947.5,17153.5,16915.849609375,17132.19921875,81.62039910077988,16512.03996320601,15661.013087997051,15210.292526079307,-109.349609375,0,17076.25,16936.133,0,0,55.94921875,161.39268187717923
17185.599609375,17225.75,17055.05078125,17076.25,77.97121873312504,16565.774252424486,15689.037581304041,15235.007194608059,138.75,1,17234.150390625,17103.309,1,1,157.900390625,162.17644844863682
